timestamp,datetime,open,high,low,close,volume,close_timestamp,close_datetime,quote_volume,trades_count,taker_buy_volume,taker_buy_quote_volume,symbol
1748707200000,2025-06-01 00:00:00,2534.85,2538.75,2532.28,2536.89,953.64,1748708099999,2025-06-01 00:14:59,2417854.45819,1371,566.674,1436843.42911,ETHUSDT
1748708100000,2025-06-01 00:15:00,2536.89,2544.95,2530.16,2537.93,6470.39,1748708999999,2025-06-01 00:29:59,16437277.65746,2651,942.835,2397553.31817,ETHUSDT
1748709000000,2025-06-01 00:30:00,2542.28,2545.7,2535.84,2538.49,2305.688,1748709899999,2025-06-01 00:44:59,5855112.21777,2402,618.635,1572814.51734,ETHUSDT
1748709900000,2025-06-01 00:45:00,2538.75,2540.0,2533.93,2539.45,3053.091,1748710799999,2025-06-01 00:59:59,7743791.24709,1414,359.38,912482.75079,ETHUSDT
1748710800000,2025-06-01 01:00:00,2539.45,2539.52,2534.69,2537.48,1694.218,1748711699999,2025-06-01 01:14:59,4298736.54736,1802,248.59,630429.27028,ETHUSDT
1748711700000,2025-06-01 01:15:00,2537.52,2539.08,2533.77,2533.82,487.546,1748712599999,2025-06-01 01:29:59,1236863.17612,1082,147.763,374814.58925,ETHUSDT
1748712600000,2025-06-01 01:30:00,2533.71,2560.91,2531.58,2534.63,8175.232,1748713499999,2025-06-01 01:44:59,20760234.1727,1684,7898.084,20057777.21697,ETHUSDT
1748713500000,2025-06-01 01:45:00,2534.56,2534.56,2485.0,2526.02,15668.593,1748714399999,2025-06-01 01:59:59,39230695.24688,2854,972.341,2457471.1696,ETHUSDT
1748714400000,2025-06-01 02:00:00,2526.0,2600.0,2525.11,2533.76,25519.254,1748715299999,2025-06-01 02:14:59,64788211.28236,2848,25096.213,63717527.41699,ETHUSDT
1748715300000,2025-06-01 02:15:00,2533.76,2568.0,2532.25,2538.56,23269.468,1748716199999,2025-06-01 02:29:59,59380033.68637,3106,22612.446,57714422.99188,ETHUSDT
1748716200000,2025-06-01 02:30:00,2536.55,2600.0,2535.79,2536.25,5675.998,1748717099999,2025-06-01 02:44:59,14428159.64275,1696,5399.158,13725624.55491,ETHUSDT
1748717100000,2025-06-01 02:45:00,2535.75,2539.56,2534.31,2539.12,570.523,1748717999999,2025-06-01 02:59:59,1446654.54873,907,283.712,719279.7143,ETHUSDT
1748718000000,2025-06-01 03:00:00,2539.0,2541.97,2536.88,2537.36,862.662,1748718899999,2025-06-01 03:14:59,2190407.39545,1402,468.143,1188792.36973,ETHUSDT
1748718900000,2025-06-01 03:15:00,2537.3,2540.75,2536.51,2539.71,715.998,1748719799999,2025-06-01 03:29:59,1817728.84665,1099,498.677,1265833.89451,ETHUSDT
1748719800000,2025-06-01 03:30:00,2539.91,2540.97,2537.36,2539.37,299.927,1748720699999,2025-06-01 03:44:59,761839.48024,984,67.432,171283.52382,ETHUSDT
1748720700000,2025-06-01 03:45:00,2539.32,2546.01,2535.54,2535.94,3194.788,1748721599999,2025-06-01 03:59:59,8112888.16385,1536,2115.568,5373976.27215,ETHUSDT
1748721600000,2025-06-01 04:00:00,2536.31,2579.0,2532.13,2532.44,3222.52,1748722499999,2025-06-01 04:14:59,8247172.80007,1188,2919.487,7479007.51236,ETHUSDT
1748722500000,2025-06-01 04:15:00,2532.75,2539.74,2531.77,2539.17,1351.535,1748723399999,2025-06-01 04:29:59,3426605.94997,1140,1258.949,3192007.10181,ETHUSDT
1748723400000,2025-06-01 04:30:00,2538.84,2540.01,2492.35,2538.34,5806.217,1748724299999,2025-06-01 04:44:59,14692639.03879,1502,659.541,1660226.71231,ETHUSDT
1748724300000,2025-06-01 04:45:00,2538.35,2541.35,2537.84,2540.85,732.007,1748725199999,2025-06-01 04:59:59,1859054.10406,832,500.391,1270934.15935,ETHUSDT
1748725200000,2025-06-01 05:00:00,2540.85,2599.0,2540.42,2540.76,10158.078,1748726099999,2025-06-01 05:14:59,26050546.15784,2016,9672.539,24814388.60553,ETHUSDT
1748726100000,2025-06-01 05:15:00,2540.42,2543.46,2538.41,2543.06,412.25,1748726999999,2025-06-01 05:29:59,1047152.02033,896,252.34,640924.92968,ETHUSDT
