timestamp,datetime,open,high,low,close,volume,close_timestamp,close_datetime,quote_volume,trades_count,taker_buy_volume,taker_buy_quote_volume,symbol
1752656400000,2025-07-16 17:00:00,120030.0,137265.6,120030.0,120030.1,552.89,1752657299999,2025-07-16 17:14:59,70039391.718,1125,247.524,33127261.2669,0
1752657300000,2025-07-16 17:15:00,120030.1,137000.0,120030.1,120339.6,140.73,1752658199999,2025-07-16 17:29:59,16992677.594,1371,19.321,2406481.6403,0
1752658200000,2025-07-16 17:30:00,120339.7,137199.8,120339.6,120339.7,143.701,1752659099999,2025-07-16 17:44:59,17354324.2283,1295,12.276,1523781.6276,0
1752659100000,2025-07-16 17:45:00,120339.7,137199.7,120339.7,120339.8,136.054,1752659999999,2025-07-16 17:59:59,16415660.4936,998,12.722,1572138.3958,0
1752660000000,2025-07-16 18:00:00,120339.8,137199.9,120339.7,120339.7,509.339,1752660899999,2025-07-16 18:14:59,67641149.3636,997,387.865,53018416.0784,0
1752660900000,2025-07-16 18:15:00,120339.8,135000.0,120339.7,120339.9,360.255,1752661799999,2025-07-16 18:29:59,46314327.8847,1412,223.521,29855527.4424,0
1752661800000,2025-07-16 18:30:00,120340.0,133999.9,120339.9,120520.0,348.329,1752662699999,2025-07-16 18:44:59,43143990.0288,1255,21.287,2676458.9295,0
1752662700000,2025-07-16 18:45:00,120641.3,125999.9,120428.1,120433.6,134.141,1752663599999,2025-07-16 18:59:59,16163053.9411,1004,8.115,985092.0467,0
1752663600000,2025-07-16 19:00:00,120433.7,120822.4,120433.6,120566.7,160.045,1752664499999,2025-07-16 19:14:59,19278808.2596,969,5.945,716544.135,0
1752664500000,2025-07-16 19:15:00,120566.7,126400.0,120566.6,120600.0,121.382,1752665399999,2025-07-16 19:29:59,14659239.8923,922,11.32,1388283.2904,0
1752665400000,2025-07-16 19:30:00,120600.1,121800.0,120566.6,120566.6,125.048,1752666299999,2025-07-16 19:44:59,15080218.5845,938,11.006,1330221.0718,0
1752666300000,2025-07-16 19:45:00,120598.9,133999.7,120430.9,133900.0,1478.326,1752667199999,2025-07-16 19:59:59,181938180.8604,1516,527.816,66996722.4997,0
1752667200000,2025-07-16 20:00:00,133900.1,133999.6,120430.9,120431.1,301.454,1752668099999,2025-07-16 20:14:59,39297882.2246,1299,14.718,1879879.654,0
