timestamp,datetime,open,high,low,close,volume,close_timestamp,close_datetime,quote_volume,trades_count,taker_buy_volume,taker_buy_quote_volume,symbol
1761457500000,2025-10-26 13:45:00,111563.5,111599.7,111560.8,111560.8,3823.977,1761458399999,2025-10-26 13:59:59,426691888.5833,1484,3597.298,401402040.2557,0
1761458400000,2025-10-26 14:00:00,111567.0,111567.1,111500.0,111518.3,1466.774,1761459299999,2025-10-26 14:14:59,163576129.659,1075,21.523,2400383.4541,0
1761459300000,2025-10-26 14:15:00,111512.1,111575.1,111485.0,111546.5,5422.98,1761460199999,2025-10-26 14:29:59,604840523.5264,1807,4214.695,470129413.4939,0
1761460200000,2025-10-26 14:30:00,111575.0,111609.0,111534.0,111554.7,2393.796,1761461099999,2025-10-26 14:44:59,267081595.401,1329,1835.819,204846165.9445,0
1761461100000,2025-10-26 14:45:00,111554.6,111579.8,111532.9,111574.3,1101.922,1761461999999,2025-10-26 14:59:59,122922812.09,985,1089.278,121512522.9722,0
1761462000000,2025-10-26 15:00:00,111579.6,111645.7,111557.7,111605.2,3046.486,1761462899999,2025-10-26 15:14:59,340068576.3658,1629,2190.769,244569882.8285,0
1761462900000,2025-10-26 15:15:00,111605.1,111631.4,111587.9,111597.8,1271.973,1761463799999,2025-10-26 15:29:59,141957741.1457,1207,562.488,62777078.4624,0
1761463800000,2025-10-26 15:30:00,111615.0,111646.3,111594.0,111641.1,51.937,1761464699999,2025-10-26 15:44:59,5797808.7531,1033,33.484,3738163.1291,0
1761464700000,2025-10-26 15:45:00,111641.2,111674.9,111633.3,111672.8,1982.531,1761465599999,2025-10-26 15:59:59,221376329.7437,1322,1693.66,189126689.2091,0
1761465600000,2025-10-26 16:00:00,111672.8,111780.2,111671.6,111752.9,4368.111,1761466499999,2025-10-26 16:14:59,488041018.2226,2315,4333.749,484201187.8209,0
1761466500000,2025-10-26 16:15:00,111752.9,111753.0,111699.9,111747.6,711.882,1761467399999,2025-10-26 16:29:59,79538478.5202,966,408.003,45588553.9135,0
1761467400000,2025-10-26 16:30:00,111747.7,111790.0,111706.9,111789.0,1229.606,1761468299999,2025-10-26 16:44:59,137447604.0472,1211,1101.067,123087359.134,0
1761468300000,2025-10-26 16:45:00,111789.0,111790.0,111712.9,111726.3,3359.492,1761469199999,2025-10-26 16:59:59,375404007.2957,1879,278.976,31183014.1339,0
1761469200000,2025-10-26 17:00:00,111728.9,111729.7,111661.4,111661.4,2205.54,1761470099999,2025-10-26 17:14:59,246327066.231,1510,301.386,33670664.7955,0
1761470100000,2025-10-26 17:15:00,111661.5,112670.1,111661.4,112615.9,18132.567,1761470999999,2025-10-26 17:29:59,2033401908.1598,3962,17721.89,1987219734.9111,0
1761471000000,2025-10-26 17:30:00,112615.9,112678.2,112190.7,112244.3,9932.132,1761471899999,2025-10-26 17:44:59,1116552066.1406,3239,1354.696,152273060.4715,0
1761471900000,2025-10-26 17:45:00,112252.1,112490.6,112200.1,112390.1,9859.954,1761472799999,2025-10-26 17:59:59,1108279477.4481,2725,8578.081,964191099.1444,0
1761472800000,2025-10-26 18:00:00,112400.2,112500.0,112275.1,112335.1,4499.977,1761473699999,2025-10-26 18:14:59,505690513.6043,2271,2469.022,277583248.8814,0
1761473700000,2025-10-26 18:15:00,112335.1,112335.5,112270.0,112280.1,507.329,1761474599999,2025-10-26 18:29:59,56968633.9526,1210,32.251,3622305.7045,0
1761474600000,2025-10-26 18:30:00,112280.1,112392.7,112164.0,112370.5,7528.976,1761475499999,2025-10-26 18:44:59,845165061.924,2403,3673.062,412575444.6471,0
1761475500000,2025-10-26 18:45:00,112370.6,112449.7,112350.1,112421.6,684.97,1761476399999,2025-10-26 18:59:59,76989983.7616,1120,591.322,66467815.5672,0
1761476400000,2025-10-26 19:00:00,112424.4,112500.0,112379.9,112439.6,5927.866,1761477299999,2025-10-26 19:14:59,666552267.7377,2121,3951.351,444371633.0282,0
1761477300000,2025-10-26 19:15:00,112439.6,112678.2,112439.5,112649.6,6653.72,1761478199999,2025-10-26 19:29:59,749093667.5983,2604,6215.237,699719394.3213,0
1761478200000,2025-10-26 19:30:00,112649.6,113252.2,112630.9,113252.2,14773.543,1761479099999,2025-10-26 19:44:59,1667845187.8568,3451,13073.838,1476214615.0629,0
1761479100000,2025-10-26 19:45:00,113252.1,113364.0,113053.6,113235.1,11933.741,1761479999999,2025-10-26 19:59:59,1350927034.639,2825,6413.949,726388359.179,0
1761480000000,2025-10-26 20:00:00,113235.1,113678.0,113213.5,113678.0,16745.992,1761480899999,2025-10-26 20:14:59,1900335976.2632,4090,16030.475,1819105107.2562,0
1761480900000,2025-10-26 20:15:00,113677.9,113743.3,113488.0,113617.2,12902.573,1761481799999,2025-10-26 20:29:59,1466017231.9636,3458,6847.171,778193578.8331,0
1761481800000,2025-10-26 20:30:00,113610.8,113647.0,113450.5,113451.2,6847.704,1761482699999,2025-10-26 20:44:59,777495624.5562,2542,1856.747,210939745.6769,0
