timestamp,datetime,open,high,low,close,volume,close_timestamp,close_datetime,quote_volume,trades_count,taker_buy_volume,taker_buy_quote_volume,symbol
1735660800000,2025-01-01 00:00:00,3580.1,3599.67,3413.85,3550.76,222.194,1735661699999,2025-01-01 00:14:59,787931.26331,191,62.627,225040.7441,0
1735661700000,2025-01-01 00:15:00,3550.76,3592.16,3521.66,3550.43,51.007,1735662599999,2025-01-01 00:29:59,181358.22706,136,16.78,59985.59952,0
1735662600000,2025-01-01 00:30:00,3550.43,3599.66,3500.0,3570.33,241.695,1735663499999,2025-01-01 00:44:59,865416.64654,141,203.099,730123.728,0
1735663500000,2025-01-01 00:45:00,3570.33,3599.66,3500.0,3500.0,256.309,1735664399999,2025-01-01 00:59:59,911677.16758,143,111.489,401168.10503,0
1735664400000,2025-01-01 01:00:00,3525.52,3599.66,3500.0,3531.07,242.825,1735665299999,2025-01-01 01:14:59,863508.54797,198,103.046,368958.61782,0
1735665300000,2025-01-01 01:15:00,3575.52,3588.4,3500.0,3500.0,450.968,1735666199999,2025-01-01 01:29:59,1589488.86986,209,266.842,943639.0577,0
1735666200000,2025-01-01 01:30:00,3500.1,3583.0,3500.0,3500.1,1410.36,1735667099999,2025-01-01 01:44:59,4940324.21712,125,96.978,342350.23822,0
1735667100000,2025-01-01 01:45:00,3500.2,3599.65,3500.0,3515.03,192.44,1735667999999,2025-01-01 01:59:59,682575.45507,78,87.812,315749.41475,0
1735668000000,2025-01-01 02:00:00,3515.03,3599.65,3505.03,3525.55,85.376,1735668899999,2025-01-01 02:14:59,303566.25133,74,7.107,25298.42585,0
1735668900000,2025-01-01 02:15:00,3525.0,3599.65,3500.1,3514.5,348.134,1735669799999,2025-01-01 02:29:59,1243780.17609,109,278.92,1001066.58357,0
1735669800000,2025-01-01 02:30:00,3537.91,3565.85,3500.1,3505.0,38.67,1735670699999,2025-01-01 02:44:59,135856.65173,73,8.805,31265.64898,0
1735670700000,2025-01-01 02:45:00,3528.33,3555.0,3500.1,3515.15,27.353,1735671599999,2025-01-01 02:59:59,96218.80287,48,1.801,6400.224,0
1735671600000,2025-01-01 03:00:00,3509.17,3538.3,3500.0,3506.31,76.829,1735672499999,2025-01-01 03:14:59,269461.2537,90,13.183,46639.04306,0
1735672500000,2025-01-01 03:15:00,3522.66,3538.2,3506.31,3516.22,47.351,1735673399999,2025-01-01 03:29:59,166720.61978,41,1.512,5347.24174,0
1735673400000,2025-01-01 03:30:00,3516.22,3538.2,3501.86,3514.85,51.79,1735674299999,2025-01-01 03:44:59,182572.02567,76,10.147,35899.00315,0
1735674300000,2025-01-01 03:45:00,3514.85,3538.3,3500.1,3537.88,76.95,1735675199999,2025-01-01 03:59:59,271010.15405,92,43.496,153871.80336,0
1735675200000,2025-01-01 04:00:00,3520.21,3597.83,3500.1,3570.91,583.155,1735676099999,2025-01-01 04:14:59,2063399.08204,326,310.816,1107905.97665,0
1735676100000,2025-01-01 04:15:00,3552.57,3597.83,3500.1,3541.32,597.565,1735676999999,2025-01-01 04:29:59,2117419.17353,224,98.915,354473.36807,0
1735677000000,2025-01-01 04:30:00,3541.42,3597.83,3500.0,3510.0,203.907,1735677899999,2025-01-01 04:44:59,720868.23199,88,62.067,222865.68614,0
1735677900000,2025-01-01 04:45:00,3504.53,3599.65,3500.0,3532.86,377.496,1735678799999,2025-01-01 04:59:59,1339536.19825,146,167.884,603535.31575,0
1735678800000,2025-01-01 05:00:00,3537.96,3599.66,3500.0,3518.48,363.394,1735679699999,2025-01-01 05:14:59,1287843.1111,153,159.695,574300.93946,0
1735679700000,2025-01-01 05:15:00,3519.23,3599.65,3519.13,3593.22,60.683,1735680599999,2025-01-01 05:29:59,216472.60453,64,50.521,180706.95909,0
1735680600000,2025-01-01 05:30:00,3572.35,3599.65,3500.1,3543.21,115.211,1735681499999,2025-01-01 05:44:59,408435.12295,158,35.313,126717.78183,0
